time_large,time_small,dtchanged,ncalc_ele,ncalc_deut,dt_ele,dt_deut,t_sim,ne,ni,KEtot_ele,KEtot_deut,Ele_pot,Mag_pot,E_tot
0,0,0,0,0,5.0269e-12,3.0161e-10,0,-2097152,2097152,1.2898e+11,1.289e+11,1.9115e+07,4101.9,2.579e+11
1,0,0,60,1,5.0269e-12,3.0161e-10,3.0161e-10,-2097152,2097152,1.2898e+11,1.289e+11,2.6076e+07,3819.7,2.5791e+11
1,1,0,120,2,5.0269e-12,3.0161e-10,6.0322e-10,-2097152,2097152,1.2896e+11,1.289e+11,1.4032e+08,4624.1,2.58e+11
1,2,0,180,3,5.0269e-12,3.0161e-10,9.0484e-10,-2097152,2097152,1.2875e+11,1.289e+11,5.8158e+08,6066.8,2.5824e+11
1,3,0,240,4,5.0269e-12,3.0161e-10,1.2064e-09,-2097152,2097152,1.2823e+11,1.289e+11,1.6108e+09,8070.6,2.5874e+11
1,4,0,300,5,5.0269e-12,3.0161e-10,1.5081e-09,-2097152,2097152,1.2727e+11,1.289e+11,3.4268e+09,10478,2.5959e+11
1,5,0,360,6,5.0269e-12,3.0161e-10,1.8097e-09,-2097152,2097152,1.2581e+11,1.289e+11,6.1155e+09,12700,2.6083e+11
1,6,0,420,7,5.0269e-12,3.0161e-10,2.1113e-09,-2097152,2097152,1.2387e+11,1.289e+11,9.6025e+09,14368,2.6238e+11
1,7,0,480,8,5.0269e-12,3.0161e-10,2.4129e-09,-2097152,2097152,1.2155e+11,1.2891e+11,1.3777e+10,15177,2.6423e+11
1,8,0,540,9,5.0269e-12,3.0161e-10,2.7145e-09,-2097152,2097152,1.1895e+11,1.2891e+11,1.8347e+10,15136,2.6621e+11
1,9,0,600,10,5.0269e-12,3.0161e-10,3.0161e-09,-2097152,2097152,1.1627e+11,1.2891e+11,2.3046e+10,14083,2.6823e+11
2,0,0,660,11,5.0269e-12,3.0161e-10,3.3177e-09,-2097152,2097152,1.1369e+11,1.2892e+11,2.7557e+10,12316,2.7016e+11
