time_large,time_small,dtchanged,ncalc_ele,ncalc_deut,dt_ele,dt_deut,t_sim,ne,ni,KEtot_ele,KEtot_deut,Ele_pot,Mag_pot,E_tot
0,0,0,0,0,5.0269e-12,3.0161e-10,0,-262144,262144,1.2927e+11,1.2964e+11,1.0106e+08,28934,2.5901e+11
1,0,0,60,1,5.0269e-12,3.0161e-10,3.0161e-10,-262144,262144,1.2928e+11,1.2964e+11,1.015e+08,29392,2.5902e+11
1,1,0,120,2,5.0269e-12,3.0161e-10,6.0322e-10,-262144,262144,1.2927e+11,1.2964e+11,1.6339e+08,36936,2.5907e+11
1,2,0,180,3,5.0269e-12,3.0161e-10,9.0484e-10,-262144,262144,1.2909e+11,1.2964e+11,5.8762e+08,50002,2.5931e+11
1,3,0,240,4,5.0269e-12,3.0161e-10,1.2064e-09,-262144,262144,1.2857e+11,1.2964e+11,1.6368e+09,66698,2.5985e+11
1,4,0,300,5,5.0269e-12,3.0161e-10,1.5081e-09,-262144,262144,1.2762e+11,1.2964e+11,3.5097e+09,85360,2.6077e+11
1,5,0,360,6,5.0269e-12,3.0161e-10,1.8097e-09,-262144,262144,1.2615e+11,1.2964e+11,6.2194e+09,1.0307e+05,2.6201e+11
1,6,0,420,7,5.0269e-12,3.0161e-10,2.1113e-09,-262144,262144,1.2421e+11,1.2964e+11,9.729e+09,1.1778e+05,2.6358e+11
1,7,0,480,8,5.0269e-12,3.0161e-10,2.4129e-09,-262144,262144,1.2187e+11,1.2965e+11,1.402e+10,1.2781e+05,2.6553e+11
1,8,0,540,9,5.0269e-12,3.0161e-10,2.7145e-09,-262144,262144,1.1927e+11,1.2965e+11,1.87e+10,1.3198e+05,2.6762e+11
1,9,0,600,10,5.0269e-12,3.0161e-10,3.0161e-09,-262144,262144,1.1658e+11,1.2965e+11,2.3401e+10,1.2716e+05,2.6963e+11
2,0,0,660,11,5.0269e-12,3.0161e-10,3.3177e-09,-262144,262144,1.14e+11,1.2966e+11,2.803e+10,1.1803e+05,2.7168e+11
2,1,0,720,12,5.0269e-12,3.0161e-10,3.6193e-09,-262144,262144,1.117e+11,1.2966e+11,3.203e+10,1.0391e+05,2.734e+11
2,2,0,780,13,5.0269e-12,3.0161e-10,3.921e-09,-262144,262144,1.0987e+11,1.2967e+11,3.5142e+10,88514,2.7468e+11
2,3,0,840,14,5.0269e-12,3.0161e-10,4.2226e-09,-262144,262144,1.086e+11,1.2968e+11,3.7375e+10,73141,2.7565e+11
2,4,0,900,15,5.0269e-12,3.0161e-10,4.5242e-09,-262144,262144,1.0794e+11,1.2968e+11,3.8539e+10,59356,2.7616e+11
2,5,0,960,16,5.0269e-12,3.0161e-10,4.8258e-09,-262144,262144,1.0787e+11,1.2969e+11,3.8803e+10,48377,2.7637e+11
2,6,0,1020,17,5.0269e-12,3.0161e-10,5.1274e-09,-262144,262144,1.083e+11,1.297e+11,3.8119e+10,40997,2.7612e+11
2,7,0,1080,18,5.0269e-12,3.0161e-10,5.429e-09,-262144,262144,1.0905e+11,1.2971e+11,3.7007e+10,36956,2.7577e+11
2,8,0,1140,19,5.0269e-12,3.0161e-10,5.7306e-09,-262144,262144,1.0995e+11,1.2972e+11,3.5671e+10,36259,2.7534e+11
2,9,0,1200,20,5.0269e-12,3.0161e-10,6.0322e-09,-262144,262144,1.108e+11,1.2973e+11,3.4451e+10,38670,2.7498e+11
3,0,0,1260,21,5.0269e-12,3.0161e-10,6.3339e-09,-262144,262144,1.1146e+11,1.2974e+11,3.3631e+10,42959,2.7484e+11
3,1,0,1320,22,5.0269e-12,3.0161e-10,6.6355e-09,-262144,262144,1.1185e+11,1.2975e+11,3.3185e+10,48871,2.7479e+11
3,2,0,1380,23,5.0269e-12,3.0161e-10,6.9371e-09,-262144,262144,1.1197e+11,1.2977e+11,3.3135e+10,55141,2.7487e+11
3,3,0,1440,24,5.0269e-12,3.0161e-10,7.2387e-09,-262144,262144,1.119e+11,1.2977e+11,3.3366e+10,61220,2.7504e+11
3,4,0,1500,25,5.0269e-12,3.0161e-10,7.5403e-09,-262144,262144,1.1173e+11,1.2978e+11,3.3713e+10,65989,2.7523e+11
3,5,0,1560,26,5.0269e-12,3.0161e-10,7.8419e-09,-262144,262144,1.1159e+11,1.2979e+11,3.3984e+10,69892,2.7536e+11
3,6,0,1620,27,5.0269e-12,3.0161e-10,8.1435e-09,-262144,262144,1.1152e+11,1.298e+11,3.4018e+10,72221,2.7534e+11
3,7,0,1680,28,5.0269e-12,3.0161e-10,8.4451e-09,-262144,262144,1.1152e+11,1.2981e+11,3.4091e+10,72875,2.7542e+11
3,8,0,1740,29,5.0269e-12,3.0161e-10,8.7468e-09,-262144,262144,1.1149e+11,1.2982e+11,3.4182e+10,71758,2.7549e+11
3,9,0,1800,30,5.0269e-12,3.0161e-10,9.0484e-09,-262144,262144,1.1129e+11,1.2984e+11,3.4795e+10,69632,2.7592e+11
4,0,0,1860,31,5.0269e-12,3.0161e-10,9.35e-09,-262144,262144,1.108e+11,1.2985e+11,3.5894e+10,66600,2.7654e+11
4,1,0,1920,32,5.0269e-12,3.0161e-10,9.6516e-09,-262142,262144,1.0992e+11,1.2986e+11,3.7713e+10,62435,2.7749e+11
4,2,0,1980,33,5.0269e-12,3.0161e-10,9.9532e-09,-262140,262144,1.0868e+11,1.2988e+11,4.0129e+10,57445,2.7869e+11
